# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
4262	7.2980E-001	4.5484E-004	4.5686E-002	10089	-6.9826E-003	-1.3105E-002	5.2639E-003	1.1881E-002	2.3824E-002
4263	7.4396E-001	4.5598E-004	4.5804E-002	10090	-7.7242E-003	-1.2534E-002	1.2481E-003	4.4558E-003	2.0025E-002
4264	7.6319E-001	4.8889E-004	4.9114E-002	10092	-9.1860E-003	-1.4755E-002	-4.0970E-003	-1.2117E-002	8.4319E-003
4265	7.8037E-001	5.1128E-004	5.1364E-002	10092	-1.0285E-002	-1.6826E-002	-1.1450E-002	-2.8074E-002	-3.1749E-003
4266	7.8878E-001	5.3253E-004	5.3498E-002	10092	-1.1096E-002	-1.7574E-002	-1.3132E-002	-3.4811E-002	-9.4953E-003
4267	7.8739E-001	5.2968E-004	5.3212E-002	10092	-1.1119E-002	-1.7129E-002	-1.4141E-002	-3.5774E-002	-1.0573E-002
4268	7.7442E-001	5.1749E-004	5.1988E-002	10092	-1.0660E-002	-1.7075E-002	-1.2406E-002	-3.3179E-002	-6.8317E-003
4269	7.4899E-001	4.9875E-004	5.0105E-002	10092	-9.7200E-003	-1.6125E-002	-6.4039E-003	-2.3411E-002	4.3545E-003
4270	7.1847E-001	4.6980E-004	4.7197E-002	10092	-8.6171E-003	-1.4081E-002	-1.0019E-003	-1.1064E-002	1.7089E-002
4271	6.8638E-001	4.5044E-004	4.5249E-002	10091	-7.2424E-003	-1.2799E-002	2.5851E-003	4.0081E-003	2.0342E-002
4272	6.5893E-001	4.4753E-004	4.4957E-002	10091	-6.5186E-003	-1.1331E-002	4.7791E-003	2.0313E-002	2.4554E-002
4273	6.4121E-001	4.5024E-004	4.5229E-002	10091	-6.2057E-003	-1.1595E-002	3.8495E-003	2.5670E-002	2.7802E-002
4274	6.3601E-001	4.5531E-004	4.5739E-002	10091	-6.3711E-003	-1.0868E-002	1.7587E-003	2.3875E-002	3.0217E-002
