# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
6437	8.9205E-001	8.0380E-004	9.2662E-002	13290	9.7339E-003	-6.6130E-003	-4.9207E-003	-2.7171E-004	-4.3178E-003
6438	8.8988E-001	8.0382E-004	9.2603E-002	13272	9.7473E-003	-6.7315E-003	-4.9077E-003	-1.9356E-004	-3.4877E-003
6439	8.8547E-001	8.0283E-004	9.2466E-002	13265	9.7364E-003	-6.8025E-003	-4.8911E-003	9.7397E-005	-2.6923E-003
6440	8.8134E-001	8.0819E-004	9.3064E-002	13260	9.7401E-003	-6.9309E-003	-4.9549E-003	5.4424E-004	-1.5561E-003
6441	8.8154E-001	8.1302E-004	9.3601E-002	13254	9.8349E-003	-6.9930E-003	-5.1653E-003	5.9819E-004	-1.2143E-003
6442	8.8635E-001	8.1739E-004	9.4162E-002	13271	9.8843E-003	-6.9516E-003	-5.2050E-003	2.0387E-004	-1.9154E-003
6443	8.9427E-001	8.2139E-004	9.4679E-002	13287	9.9230E-003	-6.8059E-003	-5.2040E-003	-4.5480E-004	-3.3111E-003
6444	9.0128E-001	8.2220E-004	9.4827E-002	13302	1.0046E-002	-6.7972E-003	-5.1110E-003	-3.0494E-004	-4.4668E-003
6445	9.0490E-001	8.2504E-004	9.5209E-002	13317	1.0112E-002	-6.7442E-003	-5.2495E-003	-3.4360E-004	-4.3206E-003
6446	9.0603E-001	8.2885E-004	9.5679E-002	13326	1.0172E-002	-6.7099E-003	-5.2626E-003	-1.4215E-004	-4.1744E-003
6447	9.0458E-001	8.1962E-004	9.4577E-002	13315	1.0053E-002	-6.7228E-003	-5.0457E-003	-7.9128E-006	-4.3737E-003
6448	8.9950E-001	8.0972E-004	9.3390E-002	13302	9.8745E-003	-6.7511E-003	-4.9585E-003	-1.2372E-004	-4.7158E-003
6449	8.9008E-001	8.0164E-004	9.2538E-002	13325	9.6541E-003	-6.8486E-003	-4.7952E-003	2.8390E-004	-4.1332E-003
6450	8.7783E-001	7.9495E-004	9.1697E-002	13306	9.5302E-003	-6.9367E-003	-4.9017E-003	5.6859E-004	-2.5110E-003
6451	8.6800E-001	7.8408E-004	9.0495E-002	13321	9.4392E-003	-6.9480E-003	-5.0487E-003	9.0185E-004	-1.4652E-003
6452	8.6409E-001	7.8499E-004	9.0588E-002	13317	9.4629E-003	-6.8494E-003	-5.1676E-003	3.6510E-004	-1.2028E-003
6453	8.6781E-001	7.8152E-004	9.0146E-002	13305	9.4670E-003	-6.5656E-003	-5.2139E-003	1.4530E-004	-2.3869E-003
6454	8.7337E-001	7.7658E-004	8.9596E-002	13311	9.4522E-003	-6.4008E-003	-5.0191E-003	-3.3732E-004	-3.5552E-003
6455	8.7732E-001	7.8735E-004	9.0828E-002	13308	9.5796E-003	-6.4557E-003	-4.9830E-003	-6.6096E-004	-4.2896E-003
6456	8.7785E-001	7.9428E-004	9.1546E-002	13284	9.6930E-003	-6.5317E-003	-4.9149E-003	-6.0970E-004	-3.3282E-003
6457	8.7786E-001	8.0483E-004	9.2742E-002	13278	9.8222E-003	-6.6745E-003	-5.3082E-003	-8.4759E-005	-2.6329E-003
6458	8.7915E-001	8.1062E-004	9.3471E-002	13296	9.8797E-003	-6.7504E-003	-5.5029E-003	1.8889E-004	-2.4984E-003
6459	8.8387E-001	8.1260E-004	9.3716E-002	13301	9.8808E-003	-6.8159E-003	-5.3282E-003	1.0130E-004	-2.9481E-003
6460	8.8928E-001	8.0538E-004	9.2902E-002	13306	9.8385E-003	-6.6459E-003	-5.0690E-003	2.8226E-005	-4.0828E-003
6461	8.9226E-001	8.1287E-004	9.3795E-002	13314	9.8596E-003	-6.6931E-003	-4.7592E-003	-4.3140E-004	-4.7814E-003
6462	8.8955E-001	8.1146E-004	9.3665E-002	13324	9.8281E-003	-6.8124E-003	-4.9422E-003	1.9538E-005	-4.0070E-003
6463	8.8315E-001	8.1966E-004	9.4609E-002	13323	9.8123E-003	-7.0354E-003	-4.8929E-003	3.8255E-004	-2.6815E-003
6464	8.7687E-001	8.1492E-004	9.4069E-002	13325	9.7887E-003	-7.2173E-003	-4.7705E-003	8.7183E-004	-1.6790E-003
6465	8.7592E-001	8.1277E-004	9.3863E-002	13337	9.8123E-003	-7.1805E-003	-4.9983E-003	9.4903E-004	-1.0005E-003
6466	8.8040E-001	8.1158E-004	9.3685E-002	13325	9.8928E-003	-6.9512E-003	-4.9761E-003	4.3813E-004	-1.5804E-003
6467	8.8776E-001	8.1315E-004	9.3979E-002	13357	9.9399E-003	-6.8014E-003	-4.9669E-003	2.5875E-004	-3.2413E-003
6468	8.9499E-001	8.1995E-004	9.4793E-002	13365	1.0050E-002	-6.7964E-003	-4.8553E-003	-2.3797E-004	-4.3946E-003
6469	8.9884E-001	8.2644E-004	9.5493E-002	13351	1.0135E-002	-6.9856E-003	-4.8924E-003	-1.3537E-005	-4.5223E-003
6470	8.9905E-001	8.2841E-004	9.5786E-002	13369	1.0123E-002	-7.0691E-003	-4.9178E-003	2.7975E-005	-4.0187E-003
6471	8.9596E-001	8.2789E-004	9.5692E-002	13360	1.0111E-002	-7.1304E-003	-4.9894E-003	3.6049E-004	-3.1219E-003
6472	8.9324E-001	8.2831E-004	9.5709E-002	13351	1.0115E-002	-7.2327E-003	-5.0077E-003	6.2253E-004	-2.7661E-003
6473	8.9165E-001	8.3396E-004	9.6415E-002	13366	1.0157E-002	-7.2858E-003	-4.8686E-003	6.0429E-004	-2.3088E-003
6474	8.9168E-001	8.3082E-004	9.6097E-002	13378	1.0124E-002	-7.2620E-003	-4.7696E-003	6.2981E-004	-2.4324E-003
6475	8.9357E-001	8.2661E-004	9.5568E-002	13367	1.0139E-002	-7.1165E-003	-4.7618E-003	4.8747E-004	-2.7624E-003
6476	8.9464E-001	8.2984E-004	9.5963E-002	13373	1.0173E-002	-7.0951E-003	-5.0935E-003	3.2334E-004	-2.7966E-003
6477	8.9608E-001	8.3630E-004	9.6688E-002	13367	1.0216E-002	-7.2102E-003	-5.0888E-003	7.0744E-005	-3.1622E-003
6478	8.9771E-001	8.3642E-004	9.6650E-002	13352	1.0263E-002	-7.2002E-003	-5.0021E-003	3.3841E-004	-3.1569E-003
6479	8.9853E-001	8.3188E-004	9.6196E-002	13372	1.0204E-002	-7.1665E-003	-4.9551E-003	2.1111E-004	-3.6005E-003
6480	8.9784E-001	8.2901E-004	9.5848E-002	13368	1.0121E-002	-7.0817E-003	-4.8780E-003	-8.6608E-005	-4.0238E-003
6481	8.9428E-001	8.2596E-004	9.5498E-002	13368	1.0100E-002	-7.1418E-003	-5.1208E-003	-9.1215E-005	-3.6223E-003
6482	8.8880E-001	8.2556E-004	9.5470E-002	13373	1.0087E-002	-7.1850E-003	-5.2469E-003	2.8217E-004	-3.0065E-003
6483	8.8272E-001	8.2634E-004	9.5557E-002	13372	1.0037E-002	-7.2663E-003	-5.2951E-003	1.6678E-004	-2.5239E-003
6484	8.7969E-001	8.2444E-004	9.5336E-002	13372	1.0031E-002	-7.3169E-003	-5.3929E-003	1.1936E-004	-2.1962E-003
6485	8.8002E-001	8.2271E-004	9.5188E-002	13387	1.0058E-002	-7.1765E-003	-5.2449E-003	1.6637E-004	-2.4073E-003
6486	8.8394E-001	8.2091E-004	9.5037E-002	13403	1.0045E-002	-6.9912E-003	-5.3060E-003	2.2781E-004	-2.9122E-003
6487	8.8891E-001	8.1993E-004	9.4911E-002	13399	1.0081E-002	-6.9105E-003	-5.1752E-003	8.8158E-005	-3.8987E-003
6488	8.9246E-001	8.2063E-004	9.4993E-002	13399	1.0079E-002	-6.9108E-003	-5.0748E-003	8.9716E-005	-4.4815E-003
6489	8.9325E-001	8.2473E-004	9.5494E-002	13407	1.0062E-002	-6.8829E-003	-5.0605E-003	-2.0130E-004	-4.3567E-003
6490	8.9095E-001	8.2025E-004	9.4973E-002	13406	1.0053E-002	-6.8966E-003	-4.9197E-003	-4.7337E-004	-4.0499E-003
6491	8.8630E-001	8.1673E-004	9.4629E-002	13424	1.0006E-002	-6.9330E-003	-4.9280E-003	3.0234E-005	-4.3727E-003
6492	8.7800E-001	8.0321E-004	9.3097E-002	13434	9.7809E-003	-6.8652E-003	-4.6327E-003	-8.2837E-005	-4.3292E-003
6493	8.6596E-001	7.7968E-004	9.0333E-002	13423	9.4884E-003	-6.7798E-003	-4.6993E-003	4.7634E-004	-3.9524E-003
6494	8.5174E-001	7.6347E-004	8.8431E-002	13416	9.2033E-003	-6.8130E-003	-4.8239E-003	5.4183E-004	-3.5779E-003
6495	8.3535E-001	7.5886E-004	8.7809E-002	13389	9.0381E-003	-6.9337E-003	-5.0915E-003	6.2790E-004	-2.1842E-003
6496	8.2154E-001	7.5144E-004	8.6897E-002	13373	8.9113E-003	-7.0745E-003	-4.9794E-003	1.0626E-003	-7.4225E-004
6497	8.1412E-001	7.4861E-004	8.6558E-002	13369	8.8755E-003	-7.0913E-003	-4.9525E-003	1.3083E-003	-2.5452E-004
6498	8.1407E-001	7.5596E-004	8.7455E-002	13384	8.9573E-003	-6.9742E-003	-4.8858E-003	1.0673E-003	-3.6019E-004
6499	8.2139E-001	7.5677E-004	8.7567E-002	13389	9.1048E-003	-6.8231E-003	-4.9594E-003	4.7036E-004	-1.1770E-003
6500	8.3219E-001	7.6089E-004	8.8066E-002	13396	9.2073E-003	-6.7255E-003	-4.9909E-003	2.0794E-004	-1.8945E-003
6501	8.4522E-001	7.7618E-004	8.9890E-002	13412	9.3956E-003	-6.7842E-003	-5.0542E-003	-1.1834E-004	-2.7100E-003
6502	8.5738E-001	7.9052E-004	9.1552E-002	13413	9.6249E-003	-6.8147E-003	-5.1622E-003	-1.2277E-004	-3.5690E-003
6503	8.6786E-001	8.0272E-004	9.2950E-002	13408	9.7876E-003	-6.9166E-003	-5.2818E-003	-6.7978E-005	-3.3765E-003
6504	8.7677E-001	8.1103E-004	9.3964E-002	13423	9.9228E-003	-6.9359E-003	-5.1111E-003	-2.9374E-004	-3.3487E-003
6505	8.8338E-001	8.1861E-004	9.4881E-002	13434	1.0077E-002	-7.0226E-003	-5.0874E-003	-8.4862E-005	-3.6848E-003
6506	8.8743E-001	8.2451E-004	9.5576E-002	13437	1.0138E-002	-7.0914E-003	-5.1782E-003	2.3687E-004	-4.0683E-003
6507	8.8996E-001	8.3225E-004	9.6527E-002	13452	1.0222E-002	-7.1443E-003	-5.3089E-003	5.4294E-005	-3.6904E-003
6508	8.9013E-001	8.4360E-004	9.7799E-002	13440	1.0285E-002	-7.2714E-003	-5.2894E-003	-4.5295E-005	-3.2295E-003
6509	8.8970E-001	8.3834E-004	9.7177E-002	13436	1.0268E-002	-7.3211E-003	-5.1601E-003	9.9692E-005	-3.3577E-003
6510	8.8938E-001	8.4049E-004	9.7445E-002	13442	1.0280E-002	-7.3535E-003	-5.2927E-003	3.6369E-004	-3.4503E-003
6511	8.8963E-001	8.3613E-004	9.6932E-002	13440	1.0299E-002	-7.2907E-003	-5.2690E-003	2.4267E-004	-3.2267E-003
6512	8.9087E-001	8.3420E-004	9.6721E-002	13443	1.0273E-002	-7.2229E-003	-5.1985E-003	2.3151E-004	-3.1792E-003
6513	8.9202E-001	8.3910E-004	9.7319E-002	13451	1.0324E-002	-7.2229E-003	-5.2046E-003	2.0682E-004	-3.2371E-003
6514	8.9201E-001	8.4301E-004	9.7734E-002	13441	1.0365E-002	-7.3718E-003	-5.3644E-003	5.1621E-004	-3.6817E-003
6515	8.9033E-001	8.4284E-004	9.7766E-002	13455	1.0325E-002	-7.4809E-003	-5.2653E-003	8.1331E-004	-3.7277E-003
6516	8.8723E-001	8.4748E-004	9.8289E-002	13451	1.0336E-002	-7.4814E-003	-5.1357E-003	1.0117E-003	-3.6480E-003
6517	8.8294E-001	8.4336E-004	9.7791E-002	13445	1.0301E-002	-7.4360E-003	-5.0056E-003	1.1526E-003	-2.8446E-003
6518	8.7948E-001	8.3782E-004	9.7220E-002	13465	1.0251E-002	-7.3305E-003	-5.2346E-003	7.0810E-004	-2.5650E-003
6519	8.7750E-001	8.3598E-004	9.6988E-002	13460	1.0235E-002	-7.2229E-003	-5.3549E-003	6.0082E-004	-2.5004E-003
6520	8.7776E-001	8.3192E-004	9.6546E-002	13468	1.0222E-002	-7.3059E-003	-5.3601E-003	4.0425E-004	-2.5059E-003
6521	8.7986E-001	8.2871E-004	9.6130E-002	13456	1.0183E-002	-7.2969E-003	-5.3733E-003	3.2577E-004	-2.6509E-003
6522	8.8365E-001	8.2907E-004	9.6169E-002	13455	1.0184E-002	-7.1426E-003	-5.4181E-003	2.7514E-004	-2.7625E-003
6523	8.8793E-001	8.3670E-004	9.7097E-002	13467	1.0312E-002	-7.0835E-003	-5.2484E-003	5.4947E-004	-3.6611E-003
6524	8.9050E-001	8.3911E-004	9.7380E-002	13468	1.0350E-002	-7.1736E-003	-5.1099E-003	4.5197E-004	-4.2287E-003
6525	8.9111E-001	8.4316E-004	9.7868E-002	13473	1.0380E-002	-7.2740E-003	-5.2632E-003	5.2191E-004	-4.4131E-003
6526	8.9003E-001	8.3531E-004	9.6968E-002	13476	1.0315E-002	-7.2705E-003	-5.2963E-003	3.6025E-004	-3.8172E-003
6527	8.8708E-001	8.3152E-004	9.6539E-002	13479	1.0245E-002	-7.3216E-003	-5.2124E-003	2.7553E-004	-3.4912E-003
6528	8.8323E-001	8.3274E-004	9.6695E-002	13483	1.0206E-002	-7.3204E-003	-5.2641E-003	6.6912E-004	-3.2004E-003
6529	8.8063E-001	8.3313E-004	9.6723E-002	13478	1.0235E-002	-7.3488E-003	-5.3682E-003	7.2198E-004	-2.9080E-003
6530	8.8041E-001	8.3138E-004	9.6510E-002	13475	1.0216E-002	-7.3030E-003	-5.2613E-003	5.8861E-004	-2.7954E-003
6531	8.8140E-001	8.3130E-004	9.6486E-002	13471	1.0197E-002	-7.1591E-003	-5.3721E-003	5.0658E-004	-2.9600E-003
6532	8.8080E-001	8.2809E-004	9.6131E-002	13476	1.0155E-002	-7.1451E-003	-5.1998E-003	5.8109E-004	-3.2594E-003
6533	8.8022E-001	8.2606E-004	9.5889E-002	13475	1.0171E-002	-7.1694E-003	-5.1011E-003	6.0992E-004	-3.4235E-003
6534	8.7940E-001	8.3284E-004	9.6711E-002	13484	1.0245E-002	-7.3013E-003	-5.3264E-003	6.7150E-004	-2.9934E-003
6535	8.8008E-001	8.3187E-004	9.6604E-002	13486	1.0270E-002	-7.2418E-003	-5.4256E-003	8.0710E-004	-2.6964E-003
6536	8.8170E-001	8.3776E-004	9.7307E-002	13491	1.0364E-002	-7.2538E-003	-5.2548E-003	6.1172E-004	-2.9465E-003
6537	8.8391E-001	8.3706E-004	9.7232E-002	13493	1.0316E-002	-7.3362E-003	-5.1210E-003	9.8674E-004	-3.1212E-003
6538	8.8592E-001	8.3834E-004	9.7433E-002	13507	1.0354E-002	-7.4180E-003	-5.0548E-003	1.1330E-003	-3.2396E-003
6539	8.8781E-001	8.4566E-004	9.8414E-002	13543	1.0438E-002	-7.4822E-003	-5.0494E-003	1.1929E-003	-3.1671E-003
6540	8.8933E-001	8.5322E-004	9.9496E-002	13599	1.0512E-002	-7.6361E-003	-4.8296E-003	1.4406E-003	-2.7939E-003
6541	8.9099E-001	8.5880E-004	1.0046E-001	13683	1.0589E-002	-7.9016E-003	-4.4400E-003	1.7480E-003	-2.4322E-003
6542	8.9288E-001	8.6399E-004	1.0170E-001	13856	1.0613E-002	-8.2178E-003	-4.1492E-003	1.9102E-003	-1.4040E-003
6543	8.9600E-001	8.7350E-004	1.0327E-001	13977	1.0573E-002	-8.9519E-003	-3.6725E-003	3.2665E-003	1.1865E-003
6544	9.0440E-001	9.2578E-004	1.0955E-001	14003	1.0703E-002	-1.0789E-002	-2.9025E-003	5.8654E-003	8.2330E-003
6545	9.3181E-001	1.0613E-003	1.2567E-001	14020	1.1083E-002	-1.4419E-002	-1.3499E-003	1.0147E-002	2.1607E-002
6546	1.0084E+000	1.3076E-003	1.5485E-001	14025	1.0754E-002	-2.1107E-002	3.6059E-003	1.4742E-002	3.6729E-002
6547	1.1554E+000	1.5880E-003	1.8817E-001	14040	8.2907E-003	-3.0357E-002	1.4543E-002	1.5179E-002	3.7930E-002
6548	1.3381E+000	1.9527E-003	2.3149E-001	14054	3.2835E-003	-4.0168E-002	3.0315E-002	1.0316E-002	2.0243E-002
6549	1.5046E+000	2.3805E-003	2.8221E-001	14054	-1.9336E-003	-4.8628E-002	4.6583E-002	3.0554E-003	-8.9966E-003
6550	1.5425E+000	2.5415E-003	3.0131E-001	14056	-3.4292E-003	-5.1340E-002	5.2119E-002	4.1268E-003	-1.6207E-002
6551	1.4449E+000	2.3574E-003	2.7948E-001	14055	-3.8740E-004	-4.8204E-002	4.4786E-002	1.0762E-002	-1.1526E-003
6552	1.2488E+000	1.9582E-003	2.3208E-001	14047	5.3114E-003	-3.9206E-002	2.7601E-002	2.0669E-002	2.9003E-002
6553	1.0649E+000	1.5651E-003	1.8539E-001	14032	9.3205E-003	-2.8682E-002	1.1671E-002	2.2352E-002	4.0033E-002
6554	9.4633E-001	1.2643E-003	1.4965E-001	14010	1.0770E-002	-1.9769E-002	2.5060E-003	1.8453E-002	3.3339E-002
6555	8.8483E-001	1.0452E-003	1.2359E-001	13981	1.0372E-002	-1.4304E-002	-3.7208E-004	1.2685E-002	1.9921E-002
6556	8.6558E-001	9.7850E-004	1.1573E-001	13987	9.8042E-003	-1.2894E-002	-1.2363E-004	9.9391E-003	1.3532E-002
6557	8.6975E-001	1.0531E-003	1.2483E-001	14051	9.3804E-003	-1.4588E-002	9.6543E-004	1.1627E-002	1.8855E-002
6558	9.0999E-001	1.4165E-003	1.6815E-001	14091	9.2739E-003	-2.1222E-002	2.1221E-003	2.2040E-002	4.4136E-002
6559	1.0493E+000	2.3808E-003	2.8268E-001	14098	9.7189E-003	-3.8107E-002	2.9161E-003	4.4278E-002	1.1130E-001
6560	1.4244E+000	4.2631E-003	5.0670E-001	14127	5.8663E-003	-7.2070E-002	3.7558E-003	7.6619E-002	2.2967E-001
6561	2.3480E+000	7.3027E-003	8.6848E-001	14143	-1.7718E-002	-1.3080E-001	1.2421E-002	7.8594E-002	3.1958E-001
6562	3.8956E+000	1.0956E-002	1.3038E+000	14161	-7.5848E-002	-2.0087E-001	4.0482E-002	1.4985E-002	2.5660E-001
6563	5.6863E+000	1.6480E-002	1.9619E+000	14172	-1.5955E-001	-2.7266E-001	8.2308E-002	-1.0036E-001	1.4890E-002
6564	7.0307E+000	2.1246E-002	2.5292E+000	14172	-2.2712E-001	-3.2748E-001	1.2751E-001	-2.0484E-001	-2.4750E-001
6565	7.0071E+000	2.1639E-002	2.5760E+000	14171	-2.2883E-001	-3.3870E-001	1.3990E-001	-1.8011E-001	-2.5616E-001
6566	5.7598E+000	1.7807E-002	2.1195E+000	14167	-1.6692E-001	-3.0591E-001	1.1623E-001	-6.9596E-002	-3.5878E-002
6567	3.8405E+000	1.2210E-002	1.4526E+000	14153	-7.8592E-002	-2.3035E-001	6.7684E-002	7.4293E-002	2.5365E-001
6568	2.3142E+000	7.8766E-003	9.3634E-001	14131	-1.9189E-002	-1.4999E-001	2.6193E-002	1.1573E-001	3.2454E-001
6569	1.4113E+000	4.6421E-003	5.5162E-001	14120	6.3055E-003	-7.9637E-002	4.7943E-003	9.3208E-002	2.3803E-001
6570	1.0222E+000	2.3693E-003	2.8109E-001	14075	9.7825E-003	-3.7275E-002	-1.4393E-003	4.7065E-002	1.1171E-001
6571	9.0248E-001	1.3226E-003	1.5583E-001	13882	9.4638E-003	-1.9587E-002	-1.9043E-003	1.9277E-002	3.9600E-002
6572	8.6478E-001	9.6402E-004	1.1284E-001	13701	9.3274E-003	-1.2855E-002	-2.1715E-003	8.2705E-003	1.1923E-002
6573	8.5313E-001	8.7586E-004	1.0221E-001	13617	9.4824E-003	-1.0535E-002	-2.7198E-003	4.6796E-003	4.3056E-003
6574	8.4927E-001	8.5723E-004	9.9980E-002	13603	9.6376E-003	-9.7701E-003	-3.2303E-003	3.7339E-003	1.6589E-003
6575	8.4865E-001	8.6070E-004	1.0048E-001	13628	9.7024E-003	-9.6140E-003	-3.3439E-003	3.3418E-003	1.4930E-003
6576	8.5359E-001	8.7046E-004	1.0201E-001	13734	9.9303E-003	-9.7928E-003	-3.1971E-003	3.6567E-003	2.3386E-003
6577	8.6472E-001	8.8843E-004	1.0475E-001	13903	1.0170E-002	-1.0339E-002	-2.3743E-003	3.8851E-003	4.2478E-003
6578	8.8373E-001	9.4717E-004	1.1242E-001	14089	1.0319E-002	-1.1899E-002	-1.0046E-003	6.1838E-003	8.6732E-003
6579	9.1948E-001	1.1329E-003	1.3461E-001	14117	1.0881E-002	-1.5853E-002	6.2071E-004	1.2651E-002	2.3008E-002
6580	9.9702E-001	1.5839E-003	1.8826E-001	14127	1.2233E-002	-2.4443E-002	3.8880E-003	2.4706E-002	5.5100E-002
6581	1.1828E+000	2.4422E-003	2.9038E-001	14137	1.2728E-002	-4.1104E-002	1.3397E-002	4.1213E-002	1.0401E-001
