# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
7143	7.8503E-001	8.6798E-004	6.9774E-002	6462	4.1097E-003	-1.3250E-002	6.0475E-003	3.2295E-003	3.2634E-003
7144	7.8403E-001	8.6480E-004	6.9164E-002	6396	4.3915E-003	-1.3140E-002	5.6570E-003	2.9655E-003	4.5660E-003
7145	7.8315E-001	8.8016E-004	7.0228E-002	6366	4.4030E-003	-1.3160E-002	5.6949E-003	2.8008E-003	4.4319E-003
7146	7.8059E-001	8.7615E-004	6.9590E-002	6309	4.2224E-003	-1.3214E-002	5.5169E-003	3.2721E-003	4.6620E-003
7147	7.7786E-001	8.6447E-004	6.8456E-002	6271	4.0174E-003	-1.3134E-002	5.1047E-003	3.6597E-003	4.7975E-003
7148	7.7419E-001	8.6680E-004	6.8393E-002	6226	4.0743E-003	-1.3259E-002	4.8203E-003	3.5442E-003	4.6374E-003
7149	7.7116E-001	8.7812E-004	6.8979E-002	6171	4.1512E-003	-1.3544E-002	4.8275E-003	3.4344E-003	3.6304E-003
7150	7.6897E-001	8.7787E-004	6.8913E-002	6162	3.9831E-003	-1.3389E-002	4.9286E-003	3.7362E-003	3.2277E-003
7151	7.6948E-001	8.7614E-004	6.8686E-002	6146	4.0112E-003	-1.3255E-002	5.4078E-003	3.9919E-003	3.3467E-003
7152	7.7297E-001	8.8922E-004	6.9682E-002	6141	4.2363E-003	-1.3422E-002	5.6203E-003	3.6657E-003	3.9777E-003
7153	7.7822E-001	8.9399E-004	7.0036E-002	6137	4.3443E-003	-1.3378E-002	5.1232E-003	3.1911E-003	4.3348E-003
7154	7.8293E-001	8.8428E-004	6.9237E-002	6131	4.2328E-003	-1.3384E-002	4.8378E-003	2.9159E-003	4.8272E-003
7155	7.8699E-001	8.9355E-004	7.0045E-002	6145	4.2304E-003	-1.3357E-002	4.9765E-003	2.9344E-003	5.3378E-003
7156	7.8913E-001	8.9152E-004	6.9885E-002	6145	4.1923E-003	-1.3504E-002	5.0957E-003	3.5399E-003	5.1642E-003
7157	7.8974E-001	8.9155E-004	6.9853E-002	6139	4.1157E-003	-1.3635E-002	5.3185E-003	3.8624E-003	4.7611E-003
7158	7.8962E-001	8.9786E-004	7.0477E-002	6161	4.1628E-003	-1.3676E-002	5.3937E-003	3.2219E-003	4.3438E-003
7159	7.8983E-001	8.9802E-004	7.0484E-002	6160	4.3256E-003	-1.3597E-002	4.9788E-003	2.9705E-003	4.3916E-003
7160	7.8825E-001	8.8576E-004	6.9559E-002	6167	4.2720E-003	-1.3460E-002	5.0642E-003	3.3545E-003	4.6432E-003
7161	7.8472E-001	8.7912E-004	6.9080E-002	6175	4.2304E-003	-1.3259E-002	5.6203E-003	2.9881E-003	4.3407E-003
7162	7.8295E-001	8.8725E-004	6.9695E-002	6170	4.3231E-003	-1.3358E-002	5.8055E-003	3.0244E-003	4.6211E-003
7163	7.8144E-001	8.8403E-004	6.9643E-002	6206	4.2411E-003	-1.3307E-002	5.6519E-003	2.6598E-003	4.8264E-003
7164	7.7835E-001	8.7658E-004	6.9092E-002	6213	4.0919E-003	-1.3301E-002	5.6426E-003	2.5898E-003	4.4153E-003
7165	7.7499E-001	8.7020E-004	6.8556E-002	6207	4.1028E-003	-1.3358E-002	5.2587E-003	2.9299E-003	4.1765E-003
7166	7.7094E-001	8.7281E-004	6.8792E-002	6212	4.0223E-003	-1.3366E-002	5.2303E-003	3.4074E-003	3.5982E-003
7167	7.7097E-001	8.7993E-004	6.9249E-002	6193	4.1754E-003	-1.3484E-002	5.6664E-003	3.2609E-003	3.0321E-003
7168	7.7296E-001	8.8744E-004	6.9841E-002	6194	4.2712E-003	-1.3442E-002	5.2914E-003	3.1522E-003	3.4169E-003
7169	7.7863E-001	8.8851E-004	6.9858E-002	6182	4.2857E-003	-1.3548E-002	4.9458E-003	3.0579E-003	4.4737E-003
7170	7.8383E-001	8.9581E-004	7.0360E-002	6169	4.2877E-003	-1.3838E-002	4.9674E-003	2.8329E-003	5.0046E-003
7171	7.8830E-001	9.0166E-004	7.0882E-002	6180	4.3021E-003	-1.3718E-002	4.9498E-003	2.8292E-003	4.9692E-003
7172	7.9129E-001	8.9707E-004	7.0533E-002	6182	4.4037E-003	-1.3825E-002	5.1135E-003	2.3446E-003	4.3923E-003
7173	7.9311E-001	8.9811E-004	7.0736E-002	6203	4.3758E-003	-1.3810E-002	4.9793E-003	2.6530E-003	4.8351E-003
7174	7.9363E-001	8.9423E-004	7.0383E-002	6195	4.2651E-003	-1.3737E-002	4.7249E-003	2.9592E-003	5.4827E-003
7175	7.9345E-001	8.9930E-004	7.0731E-002	6186	4.3144E-003	-1.3859E-002	5.1687E-003	3.1471E-003	5.9374E-003
7176	7.9211E-001	8.9328E-004	7.0136E-002	6165	4.2851E-003	-1.3684E-002	5.0451E-003	3.1419E-003	5.0422E-003
7177	7.8965E-001	8.8969E-004	6.9387E-002	6082	4.2549E-003	-1.3659E-002	5.3153E-003	3.4595E-003	4.0634E-003
7178	7.8750E-001	8.9902E-004	6.9958E-002	6055	4.3615E-003	-1.3685E-002	5.4208E-003	3.5157E-003	4.5953E-003
7179	7.8571E-001	9.1394E-004	7.0825E-002	6005	4.3852E-003	-1.3888E-002	5.3787E-003	3.4327E-003	4.7587E-003
7180	7.8429E-001	9.0221E-004	6.9694E-002	5967	4.3909E-003	-1.3648E-002	5.1589E-003	3.6328E-003	4.9133E-003
7181	7.8150E-001	9.0234E-004	6.9679E-002	5963	4.3293E-003	-1.3491E-002	5.4106E-003	3.6750E-003	4.4438E-003
7182	7.7902E-001	9.0435E-004	6.9482E-002	5903	4.1565E-003	-1.3664E-002	5.2289E-003	3.0431E-003	3.9197E-003
7183	7.7739E-001	9.1219E-004	7.0144E-002	5913	4.1650E-003	-1.3881E-002	4.9592E-003	3.0412E-003	4.1702E-003
7184	7.7947E-001	9.0563E-004	6.9618E-002	5909	4.2392E-003	-1.3746E-002	4.8922E-003	4.0185E-003	4.5263E-003
7185	7.8107E-001	8.9764E-004	6.9008E-002	5910	4.3129E-003	-1.3492E-002	5.1564E-003	3.8713E-003	4.7867E-003
7186	7.8243E-001	9.0150E-004	6.9361E-002	5920	4.2619E-003	-1.3428E-002	5.0539E-003	4.0046E-003	5.6024E-003
7187	7.8028E-001	8.8097E-004	6.7578E-002	5884	3.9238E-003	-1.3206E-002	5.0279E-003	4.1840E-003	5.4479E-003
